file, mode, rule, result, duration
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 24, sat, 0.0917973518371582
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 25, sat, 0.12706565856933594
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 26, sat, 0.09384822845458984
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 27, sat, 0.2982516288757324
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 28, sat, 0.06932973861694336
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 29, sat, 0.09588050842285156
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 30, sat, 0.2787914276123047
../test_files_z3/dressingAssist/DRESSASSIST.sleec, concern, 0, unsat, 0.10182785987854004
../test_files_z3/dressingAssist/DRESSASSIST.sleec, concern, 1, unsat, 0.2200007438659668
../test_files_z3/dressingAssist/DRESSASSIST.sleec, concern, 2, sat, 0.08623242378234863
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 0, sat, 0.05877566337585449
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 1, sat, 0.07260584831237793
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 2, sat, 0.050919294357299805
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 3, sat, 0.18511152267456055
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 4, sat, 0.17948079109191895
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 5, sat, 0.07296037673950195
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 6, sat, 0.08151745796203613
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 7, sat, 0.06275439262390137
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 8, sat, 0.05278491973876953
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 9, sat, 0.08442926406860352
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 10, sat, 0.06788349151611328
../test_files_z3/dressingAssist/DRESSASSIST-corrected.sleec, redundancy, 11, sat, 0.11311578750610352
